CellType,annotLevel,OverallClass,Description
astrocytes_ependymal,1,Astrocytes,
Dopaminergic Adult,1,Neurons,
Dopaminergic Neuroblast,1,Neurons,
Embryonic Dopaminergic Neuron,1,Neurons,
Embryonic GABAergic Neuron,1,Neurons,
Embryonic midbrain nucleus neurons,1,Neurons,
endothelial-mural,1,Vascular,
Hypothalamic Dopaminergic Neurons,1,Neurons,
Hypothalamic GABAergic Neurons,1,Neurons,
Hypothalamic Glutamatergic Neurons,1,Neurons,
interneurons,1,Neurons,
Medium Spiny Neuron,1,Neurons,
microglia,1,Immune,
Neural Progenitors,1,Neurons,
Neuroblasts,1,Neurons,
Oligodendrocyte Precursor,1,Oligos,
Oligodendrocytes,1,Oligos,
Oxytocin and Vasopressin Expressing Neurons,1,Neurons,
pyramidal CA1,1,Neurons,
pyramidal SS,1,Neurons,
Radial glia like cells,1,Astrocytes,
Serotonergic Neuron,1,Neurons,
Striatal Interneuron,1,Neurons,
Vascular Leptomeningeal Cells,1,Vascular,
Astro1,2,Astrocytes,
Astro2,2,Astrocytes,
CA1Pyr1,2,Neurons,
CA1Pyr2,2,Neurons,
CA1PyrInt,2,Neurons,
CA2Pyr2,2,Neurons,
Choroid,2,Vascular,
ClauPyr,2,Neurons,
Committed oligodendrocyte precursors,2,Oligos,
Dopaminergic Adult-Substantia nigra,2,Neurons,
Dopaminergic Adult-Ventral tegmental area1,2,Neurons,
Dopaminergic Adult-Ventral tegmental area2,2,Neurons,
Dopaminergic Adult-Ventral tegmental area3,2,Neurons,
Dopaminergic Adult-Ventral tegmental area4,2,Neurons,
Dopaminergic Neuroblast,2,Neurons,
Embryonic Dopaminergic Neuron 0,2,Neurons,
Embryonic Dopaminergic Neuron 1,2,Neurons,
Embryonic Dopaminergic Neuron 2,2,Neurons,
Embryonic GABAergic Neuron 1a,2,Neurons,
Embryonic GABAergic Neuron 1b,2,Neurons,
Embryonic GABAergic Neuron 2,2,Neurons,
Epend,2,Ependymal,Ependymal cells
Hypothalamic Adcyap1; Tac1 (VMH) Neuron,2,Neurons,
Hypothalamic Adcyap1(VMH) Neuron,2,Neurons,
Hypothalamic Avp-high;Gal;Oxt-low Neuron,2,Neurons,
Hypothalamic Avp-high;Oxt-low Neuron,2,Neurons,
Hypothalamic Avp-medium Neuron,2,Neurons,
Hypothalamic Calcr-high;VMAT+and-;Lhx1 (Sch) Neuron,2,Neurons,
Hypothalamic Crh+and-; Lhx6;GABA (BST; MPO) Neuron,2,Neurons,
Hypothalamic Crh+and-;GABA;Pgr15l (PVH-PVH-galo) Neuron,2,Neurons,
Hypothalamic Crh+and-;Gal-low (PVH) Neuron,2,Neurons,
Hypothalamic Dopamine; Dat;Nmur2;GABA Neuron,2,Neurons,
Hypothalamic Dopamine;Tac+and- Gad1; GABA Neuron,2,Neurons,
Hypothalamic Dopamine;Tac1;Ghrh;Pnoc; Dat+and-; GABA Neuron,2,Neurons,
Hypothalamic GABA 1 Neuron,2,Neurons,
Hypothalamic GABA 2 Neuron,2,Neurons,
Hypothalamic GABA; Gucy1a3 Neuron,2,Neurons,
Hypothalamic GABA;Pnoc;Tac2+and- Neuron,2,Neurons,
Hypothalamic Gad-low;Gnrh-and+ Neuron,2,Neurons,
Hypothalamic Gad1;Gad2;VGAT+and-;Pnoc Neuron,2,Neurons,
Hypothalamic Galanin Neuron,2,Neurons,
Hypothalamic Ghrh-high;Th;Vglut2 Neuron,2,Neurons,
Hypothalamic Hcrt Neuron,2,Neurons,
Hypothalamic Hmit+and- Neuron,2,Neurons,
Hypothalamic Nms;VIP+and-; Avp-low+and-;circadian (SCH) Neuron,2,Neurons,
Hypothalamic Npr2;Gm5595;4930422G04Rik;Tnr Neuron,2,Neurons,
Hypothalamic Npvf Neuron,2,Neurons,
Hypothalamic Npy-medium;Gad1;Gad2 Neuron,2,Neurons,
Hypothalamic Npy;Agrp (ARH) Neuron,2,Neurons,
Hypothalamic Nts;Gal;Pnoc;Tac2+and-;GABA Neuron,2,Neurons,
Hypothalamic Nts;Pnoc;Tac2+and-;GABA Neuron,2,Neurons,
Hypothalamic Otof;Lhx1+and- Neuron,2,Neurons,
Hypothalamic Oxt;Avp-low Neuron,2,Neurons,
Hypothalamic Oxt;Avp-low;Th;Cacna1H Neuron,2,Neurons,
Hypothalamic Oxt;Avp-medium;Gad2-low Neuron,2,Neurons,
Hypothalamic Oxt;Avp-medium;Th+and- PDYN+and Neuron,2,Neurons,
Hypothalamic Per2;circadian (SCH) Neuron,2,Neurons,
Hypothalamic Pmch Neuron,2,Neurons,
Hypothalamic Pomc+and- (ARH) Neuron,2,Neurons,
Hypothalamic Qrfp Neuron,2,Neurons,
Hypothalamic Sst low-medium Neuron,2,Neurons,
Hypothalamic Sst-high;Cartpt;Galr1 Neuron,2,Neurons,
Hypothalamic Sst-medium;Cartpt Neuron,2,Neurons,
Hypothalamic Th;Tac1;Ghrh;Vmat2-lowand- GABA Neuron,2,Neurons,
Hypothalamic Trh-high;Adcyap1;Cartpt Neuron,2,Neurons,
Hypothalamic Trh-low Neuron,2,Neurons,
Hypothalamic Trh-medium Neuron,2,Neurons,
Hypothalamic Vglut2 ;Col9a2 (PVH) Neuron,2,Neurons,
Hypothalamic Vglut2 A Neuron,2,Neurons,
Hypothalamic Vglut2;A930013F10Rik;Pou2f2 Neuron,2,Neurons,
Hypothalamic Vglut2;Bdnf;Gad1 Neuron,2,Neurons,
Hypothalamic Vglut2;Cck;2AG;AEA;Npr2;Npy1r Neuron,2,Neurons,
Hypothalamic Vglut2;Cnr1;Ninl;Rfx5;Zfp346 Neuron,2,Neurons,
Hypothalamic Vglut2;Cnr1;Npr2;Cacna1h Neuron,2,Neurons,
Hypothalamic Vglut2;Gad1-low;Crh-lowand- (VMH) Neuron,2,Neurons,
Hypothalamic Vglut2;Gpr149 (PVH;VMH) Neuron,2,Neurons,
Hypothalamic Vglut2;Hcn1;6430411K18Rik Neuron,2,Neurons,
Hypothalamic Vglut2;Morn4;Prrc2a Neuron,2,Neurons,
Hypothalamic Vglut2;Myt1;Lhx9 Neuron,2,Neurons,
Hypothalamic Vglut2;Penk;Oprk1  Neuron,2,Neurons,
Hypothalamic Vglut2;Pgam;Snx12 Neuron,2,Neurons,
Hypothalamic Vglut2;Prmt8;Ugdh (VMH) Neuron,2,Neurons,
Hypothalamic Vglut2;Zfp458;Ppp1r12b;Cacna1e-highest Neuron,2,Neurons,
Hypothalamic Vip;Grp+and-;circadian (SCH) Neuron,2,Neurons,
Int Pvalb,2,Neurons,
Int1,2,Neurons,
Int10,2,Neurons,
Int11,2,Neurons,
Int12,2,Neurons,
Int13,2,Neurons,
Int14,2,Neurons,
Int15,2,Neurons,
Int16,2,Neurons,
Int2,2,Neurons,
Int4,2,Neurons,
Int5,2,Neurons,
Int6,2,Neurons,
Int7,2,Neurons,
Int8,2,Neurons,
Int9,2,Neurons,
Lateral Neuroblasts 1,2,Neurons,
Lateral Neuroblasts 2,2,Neurons,
Mature oligodendrocytes 1,2,Oligos,
Mature oligodendrocytes 2,2,Oligos,
Mature oligodendrocytes 3,2,Oligos,
Mature oligodendrocytes 4,2,Oligos,
Mature oligodendrocytes 5,2,Oligos,
Mature oligodendrocytes 6,2,Oligos,
Medial Neuroblasts ,2,Neurons,
Mediolateral Neuroblasts 1,2,Neurons,
Mediolateral Neuroblasts 2,2,Neurons,
Mediolateral Neuroblasts 3,2,Neurons,
Mediolateral Neuroblasts 4,2,Neurons,
Mediolateral Neuroblasts 5,2,Neurons,
Medium Spiny Neuron D1R,2,Neurons,
Medium Spiny Neuron D2R,2,Neurons,
Mgl1,2,Immune,Microglia
Mgl2,2,Immune,Microglia
Myelin-forming oligodendrocytes 1,2,Oligos,
Myelin-forming oligodendrocytes 2,2,Oligos,
Neural Progenitors,2,Neurons,
Newly formed oligodendrocytes 1,2,Oligos,
Newly formed oligodendrocytes 2,2,Oligos,
Oculomotor and Trochlear nucleus embryonic neurons,2,Neurons,
Oligodendrocyte Precursor,2,Oligos,
Peric,2,Vascular,Perictyes
Pvm1,2,Immune,Perivascular macrophages
Pvm2,2,Immune,Perivascular macrophages
Radial glia like cells 1,2,Astrocytes,
Radial glia like cells 2,2,Astrocytes,
Radial glia like cells 3,2,Astrocytes,
Red nucleus embryonic neurons,2,Neurons,
S1PyrDL,2,Neurons,
S1PyrL23,2,Neurons,
S1PyrL4,2,Neurons,
S1PyrL5,2,Neurons,
S1PyrL5a,2,Neurons,
S1PyrL6,2,Neurons,
