CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study,Species
astrocytes_ependymal,1,0,4.7858606361136315,26.443832894659156,Astrocyte,allKI,mouse
Dopaminergic Adult,1,0.5431,0.9866402435182151,-0.16482816153267096,Astrocyte,allKI,mouse
Dopaminergic Neuroblast,1,0.75,0.9167195146850431,-0.7024151645391428,Astrocyte,allKI,mouse
Embryonic Dopaminergic Neuron,1,0.9394,0.8569542130385084,-1.4245444856822493,Astrocyte,allKI,mouse
Embryonic GABAergic Neuron,1,0.9404,0.8919078205328513,-1.4770465416636152,Astrocyte,allKI,mouse
Embryonic midbrain nucleus neurons,1,0.9985,0.7725648439218563,-2.4832977841268082,Astrocyte,allKI,mouse
endothelial-mural,1,0.9738,0.7188553979476389,-1.7757441679351118,Astrocyte,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,0.5777,0.981293595154857,-0.22838663303489284,Astrocyte,allKI,mouse
Hypothalamic GABAergic Neurons,1,0.7371,0.9516177079105508,-0.6502167129466411,Astrocyte,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,0.739,0.9380071248919483,-0.6909426439870401,Astrocyte,allKI,mouse
interneurons,1,0.6839,0.9618797523985625,-0.518029654676203,Astrocyte,allKI,mouse
Medium Spiny Neuron,1,0.8672,0.8621018707977537,-1.077098430621925,Astrocyte,allKI,mouse
microglia,1,0.9512,0.6984910188398787,-1.500311798465659,Astrocyte,allKI,mouse
Neural Progenitors,1,0.6113,0.9611297692794202,-0.32100006036275586,Astrocyte,allKI,mouse
Neuroblasts,1,0.9994,0.7450439763805446,-2.311529548316216,Astrocyte,allKI,mouse
Oligodendrocyte Precursor,1,0,1.7337807154136016,5.924224170690134,Astrocyte,allKI,mouse
Oligodendrocytes,1,0.8446,0.862167125530769,-0.9950079657989709,Astrocyte,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,0.2246,1.0631570491021822,0.7267729906448519,Astrocyte,allKI,mouse
pyramidal CA1,1,0.9808,0.8563709737637158,-1.9406357512579477,Astrocyte,allKI,mouse
pyramidal SS,1,0.8758,0.9196864726769787,-1.1234851656075704,Astrocyte,allKI,mouse
Radial glia like cells,1,0,1.765642858105084,7.405055096995116,Astrocyte,allKI,mouse
Serotonergic Neuron,1,0.6064,0.9692740264137293,-0.32479852523911734,Astrocyte,allKI,mouse
Striatal Interneuron,1,0.9781,0.8098326193899101,-1.7245829024774797,Astrocyte,allKI,mouse
Vascular Leptomeningeal Cells,1,0.0098,1.6257834355777823,2.7568404544739433,Astrocyte,allKI,mouse
ASC,1,0,3.8104727572819876,32.5028324811775,Astrocyte,DRONC_mouse,mouse
ChP,1,0.0523,1.204931361050874,1.6887780521994566,Astrocyte,DRONC_mouse,mouse
END,1,0.9723,0.8129789479378232,-1.8356977020992893,Astrocyte,DRONC_mouse,mouse
exCA,1,1,0.7657827109791299,-3.430552920527295,Astrocyte,DRONC_mouse,mouse
exDG,1,0.9994,0.7851457013480778,-2.9456476986452724,Astrocyte,DRONC_mouse,mouse
exPFC,1,0.9997,0.7961745922749197,-3.3007099377695353,Astrocyte,DRONC_mouse,mouse
GABA,1,0.9751,0.8679337964354031,-1.8957534890175876,Astrocyte,DRONC_mouse,mouse
MG,1,0.9514,0.864300991286973,-1.5620418890992067,Astrocyte,DRONC_mouse,mouse
ODC,1,0.9932,0.7658165197878593,-2.216181999918406,Astrocyte,DRONC_mouse,mouse
OPC,1,0,1.3700136871112059,4.18543662721078,Astrocyte,DRONC_mouse,mouse
SMC,1,0,1.562502210530795,6.9587039034724745,Astrocyte,DRONC_mouse,mouse
astrocytes_ependymal,1,1,0.5205041307041383,-4.482471078093976,CA1_Pyramidal,allKI,mouse
Dopaminergic Adult,1,0.0113,1.1603950040312498,2.504493864310717,CA1_Pyramidal,allKI,mouse
Dopaminergic Neuroblast,1,0.6603,0.959220228581205,-0.45100196103245016,CA1_Pyramidal,allKI,mouse
Embryonic Dopaminergic Neuron,1,0.274,1.0420852037850794,0.560998078600815,CA1_Pyramidal,allKI,mouse
Embryonic GABAergic Neuron,1,0.0212,1.121060453420377,2.1605674387262144,CA1_Pyramidal,allKI,mouse
Embryonic midbrain nucleus neurons,1,0.5483,0.9869120986847274,-0.1875796519555877,CA1_Pyramidal,allKI,mouse
endothelial-mural,1,1,0.4551608068907068,-4.4726492287669934,CA1_Pyramidal,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,0.1997,1.0537839582910256,0.8352662766173425,CA1_Pyramidal,allKI,mouse
Hypothalamic GABAergic Neurons,1,0.0422,1.1066236201582451,1.8735384576558265,CA1_Pyramidal,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,0.0996,1.0929274035276593,1.3554438179741426,CA1_Pyramidal,allKI,mouse
interneurons,1,0.0375,1.1019054079651607,1.864774476100491,CA1_Pyramidal,allKI,mouse
Medium Spiny Neuron,1,0,1.716058381818598,7.626010058881112,CA1_Pyramidal,allKI,mouse
microglia,1,1,0.38946932100597925,-4.017005621508069,CA1_Pyramidal,allKI,mouse
Neural Progenitors,1,0.9999,0.6669872630065875,-3.5927177649177557,CA1_Pyramidal,allKI,mouse
Neuroblasts,1,0.8706,0.9179000317759946,-1.0962110671792884,CA1_Pyramidal,allKI,mouse
Oligodendrocyte Precursor,1,0.9972,0.7858364050444037,-2.2745684376179387,CA1_Pyramidal,allKI,mouse
Oligodendrocytes,1,1,0.46046549594112013,-5.057240841111082,CA1_Pyramidal,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,0.8039,0.9446460921579568,-0.8560213197583337,CA1_Pyramidal,allKI,mouse
pyramidal CA1,1,0,3.3649962281000905,41.81672406055879,CA1_Pyramidal,allKI,mouse
pyramidal SS,1,0,1.320215770988372,5.855932900405406,CA1_Pyramidal,allKI,mouse
Radial glia like cells,1,1,0.6485408796211657,-4.4299756142016,CA1_Pyramidal,allKI,mouse
Serotonergic Neuron,1,0.3268,1.0275754841263538,0.38210681173257477,CA1_Pyramidal,allKI,mouse
Striatal Interneuron,1,0.308,1.0367003409054543,0.44908397034673475,CA1_Pyramidal,allKI,mouse
Vascular Leptomeningeal Cells,1,0.9998,0.5484518580085571,-2.667900089480901,CA1_Pyramidal,allKI,mouse
ASC,1,1,0.750586585347069,-3.8210288228012033,CA1_Pyramidal,DRONC_mouse,mouse
ChP,1,0.8564,0.8982729950940721,-1.06787257312811,CA1_Pyramidal,DRONC_mouse,mouse
END,1,1,0.6018020841954145,-5.068834521939728,CA1_Pyramidal,DRONC_mouse,mouse
exCA,1,0,2.500300482468765,28.7722704134826,CA1_Pyramidal,DRONC_mouse,mouse
exDG,1,0,1.9172787969909264,16.48979172114006,CA1_Pyramidal,DRONC_mouse,mouse
exPFC,1,0,1.5012004249707411,10.666453149210993,CA1_Pyramidal,DRONC_mouse,mouse
GABA,1,0.0126,1.1288428205407475,2.372742629066705,CA1_Pyramidal,DRONC_mouse,mouse
MG,1,0.4,1.0140625039740512,0.2211921945718102,CA1_Pyramidal,DRONC_mouse,mouse
ODC,1,0.9997,0.767114540571255,-2.951928784074355,CA1_Pyramidal,DRONC_mouse,mouse
OPC,1,0.3546,1.0227789729506167,0.33301935738080635,CA1_Pyramidal,DRONC_mouse,mouse
SMC,1,0.6175,0.9798033939244625,-0.3237454841692121,CA1_Pyramidal,DRONC_mouse,mouse
astrocytes_ependymal,1,0.8403,0.8832257369337804,-1.0062270287918267,Endothelial,allKI,mouse
Dopaminergic Adult,1,0.9976,0.8265580418522619,-2.3863045980388424,Endothelial,allKI,mouse
Dopaminergic Neuroblast,1,0.6771,0.9456399250314014,-0.5129084868958177,Endothelial,allKI,mouse
Embryonic Dopaminergic Neuron,1,0.8175,0.9193263267312909,-0.8955009140211656,Endothelial,allKI,mouse
Embryonic GABAergic Neuron,1,0.9892,0.8707714597981695,-2.1142493563542444,Endothelial,allKI,mouse
Embryonic midbrain nucleus neurons,1,0.832,0.9271438762108228,-0.9519512511375937,Endothelial,allKI,mouse
endothelial-mural,1,0,6.45620083833693,40.96261062686414,Endothelial,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,1,0.7622221688597913,-3.3671512592643134,Endothelial,allKI,mouse
Hypothalamic GABAergic Neurons,1,1,0.774822201656751,-3.5830134431880456,Endothelial,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,0.9964,0.83731446254921,-2.181999414831991,Endothelial,allKI,mouse
interneurons,1,1,0.6935572634776447,-4.950203549446621,Endothelial,allKI,mouse
Medium Spiny Neuron,1,0.5546,0.9793993147886514,-0.19651769552890141,Endothelial,allKI,mouse
microglia,1,0.3152,1.0728387742111651,0.4372882377083167,Endothelial,allKI,mouse
Neural Progenitors,1,0.236,1.0689778590013708,0.6860178231965497,Endothelial,allKI,mouse
Neuroblasts,1,0.7701,0.937406916075698,-0.7463019098653132,Endothelial,allKI,mouse
Oligodendrocyte Precursor,1,0.0017,1.3437960724793652,3.4594184180240415,Endothelial,allKI,mouse
Oligodendrocytes,1,1,0.6308235777070504,-3.1112588470554154,Endothelial,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,0.9969,0.8235386741195879,-2.498552589155438,Endothelial,allKI,mouse
pyramidal CA1,1,1,0.7577965032873402,-3.8775402566425745,Endothelial,allKI,mouse
pyramidal SS,1,0.9948,0.8566598698909751,-2.392087226400795,Endothelial,allKI,mouse
Radial glia like cells,1,0.4205,1.0131944996185334,0.15317360739012428,Endothelial,allKI,mouse
Serotonergic Neuron,1,0.7413,0.9448365422540165,-0.6907668920872171,Endothelial,allKI,mouse
Striatal Interneuron,1,1e-4,1.386884211529662,4.322688111941405,Endothelial,allKI,mouse
Vascular Leptomeningeal Cells,1,6e-4,1.778412298698477,4.21578462112464,Endothelial,allKI,mouse
ASC,1,0.9988,0.8153990940658019,-2.595619356368351,Endothelial,DRONC_mouse,mouse
ChP,1,0.9996,0.7049629011109244,-2.8473609781345766,Endothelial,DRONC_mouse,mouse
END,1,0,4.505061309141173,41.112356110225036,Endothelial,DRONC_mouse,mouse
exCA,1,1,0.6525922477258205,-6.0385883219188825,Endothelial,DRONC_mouse,mouse
exDG,1,1,0.6735432225719405,-5.4474232489007886,Endothelial,DRONC_mouse,mouse
exPFC,1,1,0.662651597526676,-6.394428973026764,Endothelial,DRONC_mouse,mouse
GABA,1,1,0.6452148673094836,-6.078487533427975,Endothelial,DRONC_mouse,mouse
MG,1,1,0.7094840067114462,-3.9902116734239175,Endothelial,DRONC_mouse,mouse
ODC,1,1,0.6568008826925383,-4.043255026889489,Endothelial,DRONC_mouse,mouse
OPC,1,0.9987,0.7934803669922799,-2.8408129418087555,Endothelial,DRONC_mouse,mouse
SMC,1,0.4682,1.0024375038414675,0.03641218382594415,Endothelial,DRONC_mouse,mouse
astrocytes_ependymal,1,0,3.78502070756379,26.14005501686122,Ependymal,allKI,mouse
Dopaminergic Adult,1,0.9837,0.8734000362042796,-1.9125421173897652,Ependymal,allKI,mouse
Dopaminergic Neuroblast,1,0.8975,0.8841894361019673,-1.2245408283168522,Ependymal,allKI,mouse
Embryonic Dopaminergic Neuron,1,0.925,0.8908077268857807,-1.3297996041346933,Ependymal,allKI,mouse
Embryonic GABAergic Neuron,1,0.9851,0.8888567334039242,-2.0183143412904436,Ependymal,allKI,mouse
Embryonic midbrain nucleus neurons,1,0.9686,0.8809849820037178,-1.7316474707941056,Ependymal,allKI,mouse
endothelial-mural,1,1,0.571729052708427,-3.569079221368757,Ependymal,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,0,1.5356954451544356,8.358907933632288,Ependymal,allKI,mouse
Hypothalamic GABAergic Neurons,1,1e-4,1.2959427571333073,4.943316691784587,Ependymal,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,8e-4,1.27770944934905,3.8266838823189397,Ependymal,allKI,mouse
interneurons,1,1,0.7037077508388817,-5.241629920240921,Ependymal,allKI,mouse
Medium Spiny Neuron,1,1,0.6612673105661455,-3.6566325954359744,Ependymal,allKI,mouse
microglia,1,1,0.5368349167917335,-3.067427667973799,Ependymal,allKI,mouse
Neural Progenitors,1,0.0102,1.21988251492472,2.431971673525792,Ependymal,allKI,mouse
Neuroblasts,1,0.9401,0.8889330296471833,-1.4204162668072151,Ependymal,allKI,mouse
Oligodendrocyte Precursor,1,0.2873,1.0440676722551248,0.4879610623491151,Ependymal,allKI,mouse
Oligodendrocytes,1,0.994,0.7741466186166652,-2.1749880313500554,Ependymal,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,0,1.366850400212075,5.649302705496631,Ependymal,allKI,mouse
pyramidal CA1,1,0.849,0.9425113572504259,-1.0375711152448062,Ependymal,allKI,mouse
pyramidal SS,1,0.9996,0.8291066944027335,-3.078466656211997,Ependymal,allKI,mouse
Radial glia like cells,1,0,1.7875283097884473,10.21948902259541,Ependymal,allKI,mouse
Serotonergic Neuron,1,0.96,0.8864303553726486,-1.6103029382789258,Ependymal,allKI,mouse
Striatal Interneuron,1,1,0.5578250759720871,-5.557042331675372,Ependymal,allKI,mouse
Vascular Leptomeningeal Cells,1,0,1.8190262232582095,4.8761896666635405,Ependymal,allKI,mouse
ASC,1,0.3303,1.0264902597826318,0.4172508619778225,Ependymal,DRONC_mouse,mouse
ChP,1,0,5.048797408207324,43.44904554686696,Ependymal,DRONC_mouse,mouse
END,1,1,0.5362536280012006,-6.2699026422280415,Ependymal,DRONC_mouse,mouse
exCA,1,1,0.6766130353345297,-6.319785632049343,Ependymal,DRONC_mouse,mouse
exDG,1,1,0.812393701837006,-3.531886042603178,Ependymal,DRONC_mouse,mouse
exPFC,1,1,0.7643823997962361,-4.998960885026574,Ependymal,DRONC_mouse,mouse
GABA,1,1,0.642605462610147,-6.77973147347319,Ependymal,DRONC_mouse,mouse
MG,1,1,0.6496266863099948,-5.445476135474074,Ependymal,DRONC_mouse,mouse
ODC,1,1,0.645650213638808,-4.643488787894371,Ependymal,DRONC_mouse,mouse
OPC,1,1,0.7081096262005693,-4.442237563300324,Ependymal,DRONC_mouse,mouse
SMC,1,0.0067,1.1580048390210016,2.6098055964611393,Ependymal,DRONC_mouse,mouse
astrocytes_ependymal,1,1,0.318370369045595,-6.0431581102546295,Interneuron,allKI,mouse
Dopaminergic Adult,1,0,1.5634441448233187,8.241827245358882,Interneuron,allKI,mouse
Dopaminergic Neuroblast,1,0.8008,0.9125977902504208,-0.8497313276302243,Interneuron,allKI,mouse
Embryonic Dopaminergic Neuron,1,0.3922,1.0172676209918028,0.20549332690629912,Interneuron,allKI,mouse
Embryonic GABAergic Neuron,1,0,1.3695088846791612,6.4033976405455775,Interneuron,allKI,mouse
Embryonic midbrain nucleus neurons,1,0.0013,1.2527681270790485,3.483763779517087,Interneuron,allKI,mouse
endothelial-mural,1,1,0.23998623110894782,-5.845817681585423,Interneuron,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,0,1.6163439576475098,8.838146705142618,Interneuron,allKI,mouse
Hypothalamic GABAergic Neurons,1,0,1.4858329267869304,8.065030185827785,Interneuron,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,0.0078,1.2209686074558013,2.8959902403977726,Interneuron,allKI,mouse
interneurons,1,0,3.0294185274427354,33.5456827565045,Interneuron,allKI,mouse
Medium Spiny Neuron,1,0.0015,1.3499397336725758,3.432884862602244,Interneuron,allKI,mouse
microglia,1,1,0.21776707020248257,-4.754859521263245,Interneuron,allKI,mouse
Neural Progenitors,1,1,0.5663183061643283,-4.418129393868454,Interneuron,allKI,mouse
Neuroblasts,1,0.8091,0.9267383919985338,-0.859968411952247,Interneuron,allKI,mouse
Oligodendrocyte Precursor,1,0.9988,0.7574128563226369,-2.539368888211024,Interneuron,allKI,mouse
Oligodendrocytes,1,1,0.38307590232974853,-5.414075376395965,Interneuron,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,0,1.3666197183546396,5.2558325675796,Interneuron,allKI,mouse
pyramidal CA1,1,1,0.708204766844695,-4.881315561743165,Interneuron,allKI,mouse
pyramidal SS,1,1,0.7497618320204722,-4.3138657777016025,Interneuron,allKI,mouse
Radial glia like cells,1,1,0.6229935492647753,-4.475105128364593,Interneuron,allKI,mouse
Serotonergic Neuron,1,6e-4,1.3005146683244646,3.932790948215028,Interneuron,allKI,mouse
Striatal Interneuron,1,0,2.6170547859959594,18.63646409399951,Interneuron,allKI,mouse
Vascular Leptomeningeal Cells,1,1,0.41627778265252924,-3.2989404648666674,Interneuron,allKI,mouse
ASC,1,0.9655,0.8794399184579423,-1.7359458174290727,Interneuron,DRONC_mouse,mouse
ChP,1,0.8515,0.8957919012547928,-1.0346467104876,Interneuron,DRONC_mouse,mouse
END,1,1,0.5708628917866791,-5.24397616015114,Interneuron,DRONC_mouse,mouse
exCA,1,0.6547,0.9770687404781777,-0.40980491532115537,Interneuron,DRONC_mouse,mouse
exDG,1,0.1124,1.0717983813898657,1.229612585001773,Interneuron,DRONC_mouse,mouse
exPFC,1,0,1.238108935714243,4.678206215603157,Interneuron,DRONC_mouse,mouse
GABA,1,0,2.9601703637832157,33.74821163316931,Interneuron,DRONC_mouse,mouse
MG,1,0.6523,0.9705118456983781,-0.42415713283739764,Interneuron,DRONC_mouse,mouse
ODC,1,1,0.7176096140851048,-3.40575144722294,Interneuron,DRONC_mouse,mouse
OPC,1,0,1.4313275085696817,6.095958275227133,Interneuron,DRONC_mouse,mouse
SMC,1,0.0125,1.1548220603540504,2.3761067803318165,Interneuron,DRONC_mouse,mouse
astrocytes_ependymal,1,1,0.6220605859211522,-3.3165964188823285,Microglia,allKI,mouse
Dopaminergic Adult,1,1,0.6773253860481704,-4.86620575254658,Microglia,allKI,mouse
Dopaminergic Neuroblast,1,1,0.6949628651150047,-3.157727463904171,Microglia,allKI,mouse
Embryonic Dopaminergic Neuron,1,1,0.659365068439021,-4.0111003408533445,Microglia,allKI,mouse
Embryonic GABAergic Neuron,1,1,0.6843838771510955,-5.317355951069301,Microglia,allKI,mouse
Embryonic midbrain nucleus neurons,1,1,0.6478204929479636,-4.814227840215845,Microglia,allKI,mouse
endothelial-mural,1,0.9823,0.7473835629359553,-1.9431465295051886,Microglia,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,1,0.5345749818763361,-6.771234689354318,Microglia,allKI,mouse
Hypothalamic GABAergic Neurons,1,1,0.6055126581588989,-6.224122359810849,Microglia,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,1,0.6399502844421056,-4.669593917102467,Microglia,allKI,mouse
interneurons,1,1,0.5315754035214011,-7.8876499074418085,Microglia,allKI,mouse
Medium Spiny Neuron,1,1,0.5000531471071311,-5.037237297725191,Microglia,allKI,mouse
microglia,1,0,11.155788193574741,62.37245454561782,Microglia,allKI,mouse
Neural Progenitors,1,0.4947,0.9976431475879375,-0.024503985897986566,Microglia,allKI,mouse
Neuroblasts,1,1,0.6509102188111489,-4.213044614982301,Microglia,allKI,mouse
Oligodendrocyte Precursor,1,0.1676,1.091918637564425,0.9566119040126747,Microglia,allKI,mouse
Oligodendrocytes,1,1,0.6242376342378636,-3.3739115474772112,Microglia,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,0.9977,0.8256702344216627,-2.532228130888516,Microglia,allKI,mouse
pyramidal CA1,1,1,0.6341114732301028,-6.271572641832006,Microglia,allKI,mouse
pyramidal SS,1,1,0.747636569002914,-4.412009435748453,Microglia,allKI,mouse
Radial glia like cells,1,0.9924,0.8169914972392662,-2.2098448266604627,Microglia,allKI,mouse
Serotonergic Neuron,1,1,0.6105154907931176,-5.153996797595066,Microglia,allKI,mouse
Striatal Interneuron,1,1,0.5025968286446852,-5.813764120580737,Microglia,allKI,mouse
Vascular Leptomeningeal Cells,1,0.6122,0.9360958469734123,-0.3555249822156054,Microglia,allKI,mouse
ASC,1,1,0.7193313834101237,-4.203241206366407,Microglia,DRONC_mouse,mouse
ChP,1,1,0.6098976872861831,-3.9679180654542736,Microglia,DRONC_mouse,mouse
END,1,0.9802,0.8477213761406516,-1.9466139597233487,Microglia,DRONC_mouse,mouse
exCA,1,1,0.675226782173983,-5.8928451319606205,Microglia,DRONC_mouse,mouse
exDG,1,1,0.6696817673672557,-5.8622015723270104,Microglia,DRONC_mouse,mouse
exPFC,1,1,0.6929376128007351,-6.234546945036292,Microglia,DRONC_mouse,mouse
GABA,1,0.9999,0.7565736259938535,-4.404379695268873,Microglia,DRONC_mouse,mouse
MG,1,0,4.170147135513337,43.7884185304517,Microglia,DRONC_mouse,mouse
ODC,1,1,0.7097549767336477,-3.540206774032474,Microglia,DRONC_mouse,mouse
OPC,1,0.5504,0.9881834910972748,-0.17080758562562126,Microglia,DRONC_mouse,mouse
SMC,1,0.9851,0.8716024926200369,-2.0062201056127638,Microglia,DRONC_mouse,mouse
astrocytes_ependymal,1,0.8411,0.8340005181075181,-0.9877603823395327,Mural,allKI,mouse
Dopaminergic Adult,1,0.9961,0.7595281814972465,-2.291625298692772,Mural,allKI,mouse
Dopaminergic Neuroblast,1,0.8261,0.8614172732244992,-0.9166026462081172,Mural,allKI,mouse
Embryonic Dopaminergic Neuron,1,0.9983,0.6981652816924884,-2.429230497835318,Mural,allKI,mouse
Embryonic GABAergic Neuron,1,0.9999,0.7217470105383686,-3.1444889191112235,Mural,allKI,mouse
Embryonic midbrain nucleus neurons,1,0.8725,0.881869796350637,-1.096409512965607,Mural,allKI,mouse
endothelial-mural,1,0,5.0065994154017694,20.59407879760074,Mural,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,0.9918,0.7802351946927879,-2.130490699179908,Mural,allKI,mouse
Hypothalamic GABAergic Neurons,1,0.9947,0.8121026517917247,-2.0632104236665305,Mural,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,0.9982,0.7608635615778193,-2.1414467895266265,Mural,allKI,mouse
interneurons,1,0.986,0.8255829528860759,-1.977856171242757,Mural,allKI,mouse
Medium Spiny Neuron,1,0.6622,0.9230288013748522,-0.48875242599846336,Mural,allKI,mouse
microglia,1,0.584,0.9238223218363084,-0.31301506327597145,Mural,allKI,mouse
Neural Progenitors,1,0.017,1.34310470565174,2.32189643586125,Mural,allKI,mouse
