CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study,Species
astrocytes_ependymal,1,0,7.829622160133341,20.205575545102228,TPM:Adult-Astro,allKI,mouse
Dopaminergic Adult,1,1,0.38163178503406764,-3.0226843135329284,TPM:Adult-Astro,allKI,mouse
Dopaminergic Neuroblast,1,0.9994,0.40723991112590235,-1.9967914379293688,TPM:Adult-Astro,allKI,mouse
Embryonic Dopaminergic Neuron,1,1,0.2638232694940143,-3.401175274761707,TPM:Adult-Astro,allKI,mouse
Embryonic GABAergic Neuron,1,1,0.3569715827527574,-3.8563667841622076,TPM:Adult-Astro,allKI,mouse
Embryonic midbrain nucleus neurons,1,1,0.33970965752201565,-3.0872891638555684,TPM:Adult-Astro,allKI,mouse
endothelial-mural,1,0.0169,1.9844283537658427,2.658040932797455,TPM:Adult-Astro,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,0.4299,1.0101645173578147,0.051737068279818076,TPM:Adult-Astro,allKI,mouse
Hypothalamic GABAergic Neurons,1,0.9583,0.7570142780045707,-1.404917187567017,TPM:Adult-Astro,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,0.9721,0.731504377130243,-1.4089643364990911,TPM:Adult-Astro,allKI,mouse
interneurons,1,1,0.5008910936470731,-2.8488479572761194,TPM:Adult-Astro,allKI,mouse
Medium Spiny Neuron,1,0.3378,1.0673718753780355,0.23552597786853433,TPM:Adult-Astro,allKI,mouse
microglia,1,0.316,1.1619543534349734,0.3495663559462296,TPM:Adult-Astro,allKI,mouse
Neural Progenitors,1,0.9818,0.5168253808029641,-1.5860811656338032,TPM:Adult-Astro,allKI,mouse
Neuroblasts,1,1,0.30917351414589334,-2.574543082723387,TPM:Adult-Astro,allKI,mouse
Oligodendrocyte Precursor,1,0.0234,1.609218110960934,2.4606208911154486,TPM:Adult-Astro,allKI,mouse
Oligodendrocytes,1,0.5291,0.9133090630371702,-0.26651689298399667,TPM:Adult-Astro,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,0.9853,0.6406295576507269,-1.7718376972070198,TPM:Adult-Astro,allKI,mouse
pyramidal CA1,1,0.9997,0.5319880759985739,-2.879025704388064,TPM:Adult-Astro,allKI,mouse
pyramidal SS,1,0.9439,0.7571330303277192,-1.4300628660594255,TPM:Adult-Astro,allKI,mouse
Radial glia like cells,1,0.0025,1.9456948442719606,3.729817781988204,TPM:Adult-Astro,allKI,mouse
Serotonergic Neuron,1,1,0.2720521224917554,-3.5856249148011754,TPM:Adult-Astro,allKI,mouse
Striatal Interneuron,1,0.9993,0.46681919149375667,-2.0327114265243416,TPM:Adult-Astro,allKI,mouse
Vascular Leptomeningeal Cells,1,0.0116,2.631948645217212,3.0164939527029513,TPM:Adult-Astro,allKI,mouse
ASC,1,0,4.752094006812098,18.32801283271992,TPM:Adult-Astro,DRONC_mouse,mouse
ChP,1,0.0578,1.5010232145560163,1.7240426308815153,TPM:Adult-Astro,DRONC_mouse,mouse
END,1,0.3364,1.086096288441914,0.35426292367847617,TPM:Adult-Astro,DRONC_mouse,mouse
exCA,1,1,0.3668732715087676,-4.089949478809852,TPM:Adult-Astro,DRONC_mouse,mouse
exDG,1,0.9999,0.45504279780397944,-3.272309265044137,TPM:Adult-Astro,DRONC_mouse,mouse
exPFC,1,1,0.4776333883512795,-3.8304118038664097,TPM:Adult-Astro,DRONC_mouse,mouse
GABA,1,1,0.37222800748803364,-3.900804525008713,TPM:Adult-Astro,DRONC_mouse,mouse
MG,1,0.9974,0.6004292134390563,-2.1005913104470344,TPM:Adult-Astro,DRONC_mouse,mouse
ODC,1,0.7503,0.8314344683685863,-0.7133597794106193,TPM:Adult-Astro,DRONC_mouse,mouse
OPC,1,0.9217,0.7292835979047367,-1.2801895938552963,TPM:Adult-Astro,DRONC_mouse,mouse
SMC,1,5e-4,1.850475375341105,4.460685104463736,TPM:Adult-Astro,DRONC_mouse,mouse
astrocytes_ependymal,1,0,2.2151948655813527,5.288706538011678,TPM:Adult-Endo,allKI,mouse
Dopaminergic Adult,1,0.2438,1.0826743179398584,0.6165410168714927,TPM:Adult-Endo,allKI,mouse
Dopaminergic Neuroblast,1,0.9997,0.5406933540379336,-2.441074520857454,TPM:Adult-Endo,allKI,mouse
Embryonic Dopaminergic Neuron,1,0.9999,0.5466571606536584,-2.8685371256807612,TPM:Adult-Endo,allKI,mouse
Embryonic GABAergic Neuron,1,1,0.3671918077732541,-5.710450870343095,TPM:Adult-Endo,allKI,mouse
Embryonic midbrain nucleus neurons,1,1,0.4173769843357157,-3.9810924481394414,TPM:Adult-Endo,allKI,mouse
endothelial-mural,1,0,3.4699683727746335,9.681677990446094,TPM:Adult-Endo,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,1,0.4517984655229809,-3.9303573241179035,TPM:Adult-Endo,allKI,mouse
Hypothalamic GABAergic Neurons,1,1,0.5426612377720361,-3.7401795622642564,TPM:Adult-Endo,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,1,0.5782072636966885,-2.8250519497602045,TPM:Adult-Endo,allKI,mouse
interneurons,1,1,0.40817092735341903,-4.874678693078002,TPM:Adult-Endo,allKI,mouse
Medium Spiny Neuron,1,0.9994,0.5562067982700407,-2.192289631106664,TPM:Adult-Endo,allKI,mouse
microglia,1,0.093,1.461673760221831,1.4118079988602605,TPM:Adult-Endo,allKI,mouse
Neural Progenitors,1,0.937,0.7296265103104641,-1.3609305916776502,TPM:Adult-Endo,allKI,mouse
Neuroblasts,1,1,0.5027609448705963,-2.8938954925123177,TPM:Adult-Endo,allKI,mouse
Oligodendrocyte Precursor,1,0,2.241738148338536,6.6507285313173945,TPM:Adult-Endo,allKI,mouse
Oligodendrocytes,1,0,5.3400476368320176,18.47121943510199,TPM:Adult-Endo,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,1,0.4324428495632567,-4.092229315731537,TPM:Adult-Endo,allKI,mouse
pyramidal CA1,1,1,0.5706689685636069,-3.6954330637649946,TPM:Adult-Endo,allKI,mouse
pyramidal SS,1,0.9989,0.6824661135746639,-2.7373551238324647,TPM:Adult-Endo,allKI,mouse
Radial glia like cells,1,0.21,1.1268132332436074,0.7608991505864768,TPM:Adult-Endo,allKI,mouse
Serotonergic Neuron,1,1,0.5038493420675972,-3.383581643004787,TPM:Adult-Endo,allKI,mouse
Striatal Interneuron,1,0.9995,0.5915424047114908,-2.274307686403972,TPM:Adult-Endo,allKI,mouse
Vascular Leptomeningeal Cells,1,0,4.0599829959467035,8.344471107636636,TPM:Adult-Endo,allKI,mouse
ASC,1,0.0072,1.402031120454834,2.840188356868147,TPM:Adult-Endo,DRONC_mouse,mouse
ChP,1,0.0779,1.3013365928903045,1.4905502633052314,TPM:Adult-Endo,DRONC_mouse,mouse
END,1,0,1.9571371689545716,5.77608918184417,TPM:Adult-Endo,DRONC_mouse,mouse
exCA,1,1,0.6138638636477564,-3.5039372065654,TPM:Adult-Endo,DRONC_mouse,mouse
exDG,1,0.9964,0.7061879830102251,-2.4939418507097084,TPM:Adult-Endo,DRONC_mouse,mouse
exPFC,1,1,0.28091107565157264,-6.995024478362731,TPM:Adult-Endo,DRONC_mouse,mouse
GABA,1,1,0.2698224303924292,-6.380011617761279,TPM:Adult-Endo,DRONC_mouse,mouse
MG,1,0.4203,1.015377188715398,0.11128985084311617,TPM:Adult-Endo,DRONC_mouse,mouse
ODC,1,0,3.2373728540299997,13.0538761057131,TPM:Adult-Endo,DRONC_mouse,mouse
OPC,1,0.0862,1.1967833780744794,1.4050765055328744,TPM:Adult-Endo,DRONC_mouse,mouse
SMC,1,0.0418,1.243824226701759,1.8497455655048785,TPM:Adult-Endo,DRONC_mouse,mouse
astrocytes_ependymal,1,0.3926,1.0214409828848767,0.04613397081932824,TPM:Adult-Ex1,allKI,mouse
Dopaminergic Adult,1,0.6165,0.8995382436272973,-0.3679967131705336,TPM:Adult-Ex1,allKI,mouse
Dopaminergic Neuroblast,1,0.8074,0.7248767892549379,-0.8386887283196706,TPM:Adult-Ex1,allKI,mouse
Embryonic Dopaminergic Neuron,1,0.8973,0.6595157736223584,-1.0699373236965433,TPM:Adult-Ex1,allKI,mouse
Embryonic GABAergic Neuron,1,0.2458,1.128196083219539,0.5303082812556186,TPM:Adult-Ex1,allKI,mouse
Embryonic midbrain nucleus neurons,1,0.4164,0.9926582831774446,-0.02236654158558552,TPM:Adult-Ex1,allKI,mouse
endothelial-mural,1,0.2149,1.3708215464764772,0.7095642081502153,TPM:Adult-Ex1,allKI,mouse
Hypothalamic Dopaminergic Neurons,1,0.5913,0.9122225146931227,-0.3264756450246079,TPM:Adult-Ex1,allKI,mouse
Hypothalamic GABAergic Neurons,1,0.6376,0.9094502322684005,-0.4010385867293368,TPM:Adult-Ex1,allKI,mouse
Hypothalamic Glutamatergic Neurons,1,0.8346,0.791497497517728,-0.8060934224267156,TPM:Adult-Ex1,allKI,mouse
interneurons,1,0.0317,1.493460819865671,2.1459262411051006,TPM:Adult-Ex1,allKI,mouse
Medium Spiny Neuron,1,0.0099,2.4475318472517444,3.5141856497704977,TPM:Adult-Ex1,allKI,mouse
microglia,1,0.8427,0.44387639888040975,-0.8417100313003958,TPM:Adult-Ex1,allKI,mouse
Neural Progenitors,1,0.7218,0.7530102139164796,-0.6598486436834449,TPM:Adult-Ex1,allKI,mouse
Neuroblasts,1,0.6488,0.8597923265504248,-0.4362405192677772,TPM:Adult-Ex1,allKI,mouse
Oligodendrocyte Precursor,1,0.5383,0.8927122938955618,-0.2850208615399378,TPM:Adult-Ex1,allKI,mouse
Oligodendrocytes,1,0.9999,0.2618928441838332,-1.7193266989494358,TPM:Adult-Ex1,allKI,mouse
Oxytocin and Vasopressin Expressing Neurons,1,0.8551,0.7477062284363952,-0.9798394225664478,TPM:Adult-Ex1,allKI,mouse
pyramidal CA1,1,0.0536,1.4124522714898042,1.790402665242238,TPM:Adult-Ex1,allKI,mouse
pyramidal SS,1,0.0022,1.847588567968411,3.6659222078394254,TPM:Adult-Ex1,allKI,mouse
Radial glia like cells,1,0.2906,1.1189626144008085,0.3547780918531155,TPM:Adult-Ex1,allKI,mouse
Serotonergic Neuron,1,0.903,0.6790734990153371,-1.1331091135103246,TPM:Adult-Ex1,allKI,mouse
Striatal Interneuron,1,0.0034,2.5600711294446086,4.261361563837826,TPM:Adult-Ex1,allKI,mouse
Vascular Leptomeningeal Cells,1,0.3727,0.9492094493661338,-0.07027970086145637,TPM:Adult-Ex1,allKI,mouse
ASC,1,0.3219,1.0950491302542582,0.35260660081123607,TPM:Adult-Ex1,DRONC_mouse,mouse
ChP,1,0.3827,1.0660028292162704,0.16730043747843598,TPM:Adult-Ex1,DRONC_mouse,mouse
END,1,0.324,1.1235057497350716,0.36892747364000694,TPM:Adult-Ex1,DRONC_mouse,mouse
exCA,1,0.0061,1.622639496349797,2.8925168596877593,TPM:Adult-Ex1,DRONC_mouse,mouse
exDG,1,0.0105,1.7327059600717079,2.973235206047,TPM:Adult-Ex1,DRONC_mouse,mouse
exPFC,1,0.0117,1.476942412593014,2.4283699840170914,TPM:Adult-Ex1,DRONC_mouse,mouse
GABA,1,0.0165,1.5006449311803287,2.395704028316582,TPM:Adult-Ex1,DRONC_mouse,mouse
