CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study
Astro_L1-2_FGFR3_GFAP,2,0,5.887159716556563,21.730703344737613,UMI:Astro,AIBS2019
Astro_L1-6_FGFR3_SLC14A1,2,0,7.518834828775326,33.812262105352495,UMI:Astro,AIBS2019
Endo_L2-6_NOSTRIN,2,0.369,1.0727411732636138,0.23908059087744327,UMI:Astro,AIBS2019
Exc_L2-3_LINC00507_FREM3,2,0.9887,0.8469498386159076,-2.0344288885653397,UMI:Astro,AIBS2019
Exc_L2-4_LINC00507_GLP2R,2,0.9967,0.7715430136186253,-1.603842448581536,UMI:Astro,AIBS2019
Exc_L2_LAMP5_LTK,2,0.9715,0.843560327510303,-1.5667274037016312,UMI:Astro,AIBS2019
Exc_L3-4_RORB_CARM1P1,2,0.9859,0.8233778825577333,-1.756322231810551,UMI:Astro,AIBS2019
Exc_L3-5_RORB_COL22A1,2,1,0.6591117301999938,-3.101187464292598,UMI:Astro,AIBS2019
Exc_L3-5_RORB_ESR1,2,1,0.693324218769808,-3.2927036594633323,UMI:Astro,AIBS2019
Exc_L3-5_RORB_FILIP1L,2,0.9998,0.7581663077269977,-2.843508854486883,UMI:Astro,AIBS2019
Exc_L3-5_RORB_TWIST2,2,0.9996,0.7189901724555232,-1.9793900493499772,UMI:Astro,AIBS2019
Exc_L4-5_FEZF2_SCN4B,2,0.9945,0.7638113425804751,-1.8041922982084366,UMI:Astro,AIBS2019
Exc_L4-5_RORB_DAPK2,2,1,0.6736962459319239,-2.997088659365644,UMI:Astro,AIBS2019
Exc_L4-5_RORB_FOLH1B,2,1,0.7504553673466011,-3.3241686390383647,UMI:Astro,AIBS2019
Exc_L4-6_FEZF2_IL26,2,0.9987,0.7288970532941612,-1.7041024154047884,UMI:Astro,AIBS2019
Exc_L4-6_RORB_C1R,2,1,0.7232481590255215,-3.1780407419618113,UMI:Astro,AIBS2019
Exc_L4-6_RORB_SEMA3E,2,1,0.7102069679309204,-4.227671230531445,UMI:Astro,AIBS2019
Exc_L5-6_FEZF2_ABO,2,0.7605,0.934963663460085,-0.72160657392988925,UMI:Astro,AIBS2019
