CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study,Species
ASC,1,0,5.40032656952373,21.64167078875347,TPM:Adult-Astro,DRONC_human,human
END,1,0.686,0.861366086230796,-0.5577932853413754,TPM:Adult-Astro,DRONC_human,human
exCA,1,0.9997,0.5618108334318076,-3.226798345110699,TPM:Adult-Astro,DRONC_human,human
exDG,1,0.9995,0.5724622287438902,-2.890633619569611,TPM:Adult-Astro,DRONC_human,human
exPFC,1,1,0.5035452406341283,-3.800909185382909,TPM:Adult-Astro,DRONC_human,human
GABA,1,1,0.48784972687349915,-3.3960206992226722,TPM:Adult-Astro,DRONC_human,human
MG,1,0.9921,0.48723190977271646,-1.6935301624633856,TPM:Adult-Astro,DRONC_human,human
NSC,1,0,2.4577128380472804,6.726678076888577,TPM:Adult-Astro,DRONC_human,human
ODC,1,0.9436,0.6672969762669854,-1.3619413542706547,TPM:Adult-Astro,DRONC_human,human
OPC,1,0.9796,0.6445951103293948,-1.6619345130332803,TPM:Adult-Astro,DRONC_human,human
Astrocyte,1,0,5.0857518991793516,20.78494924911447,TPM:Adult-Astro,AIBS2019,human
Endothelial cell,1,0.2824,1.1738343205718968,0.5363806413766973,TPM:Adult-Astro,AIBS2019,human
GABAergic,1,1,0.30957529198254513,-4.259729676592937,TPM:Adult-Astro,AIBS2019,human
Glutamatergic,1,1,0.3625139866733452,-3.964164577830792,TPM:Adult-Astro,AIBS2019,human
Microglia,1,1,0.1471627695251594,-3.3268667660374254,TPM:Adult-Astro,AIBS2019,human
OPC,1,1,0.43053974945684137,-3.395348787184633,TPM:Adult-Astro,AIBS2019,human
Oligodendrocyte,1,0.9999,0.4236882215208493,-2.7947540936140722,TPM:Adult-Astro,AIBS2019,human
ASC,1,0.0613,1.2214889263540987,1.6295057076095758,TPM:Adult-Endo,DRONC_human,human
END,1,0,2.7754109698920804,10.607321291838053,TPM:Adult-Endo,DRONC_human,human
exCA,1,1,0.439635897178584,-5.70295316958648,TPM:Adult-Endo,DRONC_human,human
exDG,1,1,0.49550542493038197,-4.788845491399087,TPM:Adult-Endo,DRONC_human,human
exPFC,1,1,0.3141161296109761,-7.225982463458602,TPM:Adult-Endo,DRONC_human,human
GABA,1,1,0.3480110407675749,-5.824025182072581,TPM:Adult-Endo,DRONC_human,human
MG,1,0.3711,1.051666985939099,0.22508595875751874,TPM:Adult-Endo,DRONC_human,human
NSC,1,0.7368,0.8991117845588188,-0.6544673750973453,TPM:Adult-Endo,DRONC_human,human
ODC,1,0,4.884745670736718,21.029467845012967,TPM:Adult-Endo,DRONC_human,human
OPC,1,0,2.319329569682128,8.007763560202445,TPM:Adult-Endo,DRONC_human,human
Astrocyte,1,0.9931,0.6957229972194409,-2.205303767521242,TPM:Adult-Endo,AIBS2019,human
Endothelial cell,1,0,2.975069378721506,8.589569338584706,TPM:Adult-Endo,AIBS2019,human
GABAergic,1,1,0.2128046968240098,-6.809522690727764,TPM:Adult-Endo,AIBS2019,human
Glutamatergic,1,1,0.15982588110578883,-7.257479995310434,TPM:Adult-Endo,AIBS2019,human
Microglia,1,0.9967,0.57721853894153,-2.3541835915182623,TPM:Adult-Endo,AIBS2019,human
OPC,1,0.001,1.4459086124679212,3.5469973598823494,TPM:Adult-Endo,AIBS2019,human
Oligodendrocyte,1,0,2.8113624319000916,12.684858827144025,TPM:Adult-Endo,AIBS2019,human
ASC,1,0.8621,0.7172361613578334,-0.9930764484401255,TPM:Adult-Ex1,DRONC_human,human
END,1,0.8771,0.6137135039600771,-1.1119398366793043,TPM:Adult-Ex1,DRONC_human,human
exCA,1,0.0095,1.5324575701435634,2.687486711955842,TPM:Adult-Ex1,DRONC_human,human
exDG,1,0,2.3516752371678367,5.974801031686074,TPM:Adult-Ex1,DRONC_human,human
exPFC,1,0.0958,1.2506225729737963,1.3282854466642435,TPM:Adult-Ex1,DRONC_human,human
GABA,1,5e-4,1.9171695252162055,4.257495309891466,TPM:Adult-Ex1,DRONC_human,human
MG,1,0.999,0.23430110739527307,-1.569312931092092,TPM:Adult-Ex1,DRONC_human,human
NSC,1,0.733,0.7852338569014379,-0.6806505238903647,TPM:Adult-Ex1,DRONC_human,human
ODC,1,0.9454,0.553796077660431,-1.1884425233116613,TPM:Adult-Ex1,DRONC_human,human
OPC,1,0.3514,1.06188592386401,0.20294777305047326,TPM:Adult-Ex1,DRONC_human,human
Astrocyte,1,0.738,0.8013609773979236,-0.6960878533164699,TPM:Adult-Ex1,AIBS2019,human
Endothelial cell,1,0.523,0.9158406829962578,-0.16996726812879565,TPM:Adult-Ex1,AIBS2019,human
GABAergic,1,2e-4,2.0965703864163543,4.737555887573694,TPM:Adult-Ex1,AIBS2019,human
Glutamatergic,1,0.0046,1.723906678299804,3.0223510010465007,TPM:Adult-Ex1,AIBS2019,human
Microglia,1,0.9996,0.15446114579304435,-2.286901323734618,TPM:Adult-Ex1,AIBS2019,human
OPC,1,0.657,0.8865061693648042,-0.4565239754429677,TPM:Adult-Ex1,AIBS2019,human
